activite_branches|activite_branches_reduite|activite_insee_1949|activite_sgf_1936|adresse|affiliation|annee_creation|annee_disparition|annee_fusion|annuaire_1890|annuaire_1897|annuaire_1914|caran|cas_problematique|Cgpf_1930|cgpf_groupe|chgt_dpt|chgt_type|commerce_en_gros|commune|cote_dossier|cote_registre|date_creation|date_declaration|date_dissolution|departement|dissolution|duree_syndicat|effectif_creation|effectifs_evolution|effectifs_sources|fusion|id_coac|lieu_conservation_dossier|lieu_conservation_registre|nouvelles|numero|numero_syndicat|numro_synd_absorbant|observations|pk|present_01_01_1890|present_01_01_1900|present_01_01_1914|present_01_01_1920|present_01_01_1926|present_01_01_1930|present_01_01_1936|present_01_01_1937|present_théorique_01_01_1890|present_théorique_01_01_1900|present_théorique_01_01_1914|present_théorique_01_01_1920|present_théorique_01_01_1926|present_théorique_01_01_1930|present_théorique_01_01_1936|present_théorique_01_01_1937|section|theorique_sect_01_01_1884|theorique_sect_01_01_1890|theorique_sect_01_01_1900|theorique_sect_01_01_1914|theorique_sect_01_01_1920|theorique_sect_01_01_1926|theorique_sect_01_01_1930|theorique_sect_01_01_1936|theorique_sect_01_01_1937|titre_du_syndicat_modifie_1|titre_du_syndicat_modifie₂|titre_du_syndicat_originel|type_syndicat_1|type_syndicat2|zone_couverte_origine|nature_du_syndicat|titre_du_syndicat_copie|archivage|lieu_conservation_registre_copie|divers|notes|activite|activite_insee_49_00_000|cas_douteux|fichier_complement|present_theorique_01_01_1946
||91|7|7 rue Gambetta , pharmacie Parant rue Alexandre baudin (1890)||1878|||Oui|Oui|Oui||||||||Bourg-en-Bresse|57 M 2 (Etat 1888)||17/07/1878|14/10/1884||01|Non|-1878|34|"1888 : 38
1889 : 40; 48 (1890)
1893 : 43
1895 : 47
1896 : 51 (57 M3 (1))
1904 : 60 (57 M3 (2))
1911 : 69; 67 (1914)"|57M2 (état 1888)|||AD|Préfecture||5|1001||"A établi une société mutuelle d'assurance contre les accidents.
57M3, situation au 1/1/1896 : Le syndicat se réunit une fois par an à Bourg et une seconde fois dans une autre localité du département désignée lors de la réunion de Bourg. Il donne aussi des secours aux anciens pharmaciens tombés dans le besoin ainsi qu'à leur enfants."|1||||||||||||||||||Oui|Oui|Oui|Oui||||||||Société d'émulation et de prévoyance des pharmaciens du département de l'Ain||syndicat professionnel|département||||Préfecture|||||||
BTP|Industrie|33|4Q|10, rue d'Espagne/ 19 rue Notre Dame (1890), 10 rue de l'étoile (1914||1882|||Oui|Oui|Oui|||Oui|3||||Bourg-en-Bresse|"57M2 (état 1888)
"||17/09/1882|24/2/1885||01||-1882|88|"1/1/1888 : 82; 90 (1890)
1893 : 80
1894: 55
1896 : 51 (57 M 3(1))
1904 : 82 (57 M3(2))
1908 : 70 (57 M 258)
1911 : 56
1914 : 68
1920 : 52 (57 M 772)

"|57M2 (état 1888)||||Préfecture||4|1002||"1908 : est membre de la chambre syndicale patronale du bâtiment de l'Est et du Sud-Est
objet : maintien des tarifs qu'il a institué pour les travaux du bâtiment.

57M2 Tableau situation au 1/1/1893 : but du syndicat est “de maintenir les prix des différents travaux exécutés par eux à un tarif qu'ils ont fixé, l'entente est assez difficile.”
Ibidem, rapport annuel au préfet de la mairie de Bourg sur synd. prof, 5/3/1892 : Syndicat s'étend sur tout le département. “L'association (...) a établi un tarif prix qui, suivant elle, devrait servir de base aux devis dressés par les architectes de la région. Elle a demandé et obtenu des administrations départementales et communales que les adjudications de travaux publics soient divisés en lots. Mais elle n'a pas obtenu - ce qu'elle avait demandé aussi- qu'il soit établi un maximum et un minimum de prix. (Elle) proteste avec énergie contre les devis dressés par les architectes et aussi et surtout par les soumissionnaires qui font des rabais importants”.

57M3 fiche situation au 1/11896 : il tranche “les différends qui peuvent exister entre propriétaires et entrepreneurs. Il évite bien des  procès-verbaux devant le tribunal de commerce et devant le tribunal civil. Les membres du bureau se réunissent régulièrement tous les mois. Une réunion générale chaque année au siège du syndicat."|2|Oui|Oui|Oui|||||||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|||Chambre syndicale  des entrepreneurs du bâtiment de l'Ain (1930)||Syndicat des entrepreneurs du bâtiment et industriels de l'Ain||syndicat professionnel|département|||||||||||
Agroalimentaire|Industrie|41|4B|29 rue des Blanchisseries||1882|||||||||||||Bourg-en-Bresse|57 M2 (Etats au 1/1)||9/2/1882|24/02/1885||01||-1882|28|1888: 27|52 M 2(Etat 1888)|||AD||||1003||ne fonctionne plus en 1889|3||||||||||||||||||Oui|Oui||||||||Chambre syndicale de la boulangerie de Bourg-en-Bresse (titre apparaissant dans les statuts)||Chambre syndicale des patrons boulangers ||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|69|6A|"Cours de Verdun (café Morriez), 
rue des boucheries (1890); 
café Coramèche place Grenette (1914"||1884|||Oui|Oui|Oui|||Oui|2|||oui|Bourg-en-Bresse|||24/12/1884|2/1/1885||01|Non|-1884|58|"1/1/1888 : 65
1889 : 52, 45 (1890)
1894 : 60
1911 : 72; 101 (1914)
1920 : 115"|57M2 (état 1888)||||Préfecture||6|1004||"Objet : propagande en faveur de la réforme de l'impôt des boissons.
ADAin 57M3(2), fiche situtation 1/1/1902 : s'occupe surtout des renseignements concernant l'achat et la vente des vins."|4|||||||||||||||||||Oui|Oui|Oui|Oui|Oui|Oui|||Chambre syndicale du commerce en gros de  vins et spiritueux du département de l'Ain (en 1930)||Syndicat des négociants en vins et spiritueux de l'Ain||syndicat professionnel|département|||||||||||
||52|4I|4 rue neuve (1890)||1886|||Oui|Oui|||||||||Bourg-en-Bresse|57M 4(2)||1/1/1886|1/3/1886||01||-1886|8|"1/1/1888 : 8
1889 : 7; 7 (1890)
1893 : 7
1894 : 6
1896 : 5 (57M3)
1900 : 5
1901 : 3"|57M2 (état 1888)|||AD||||1005||"Seul but de ce syndicat : faire des achats en communpour avoir les marchandises à meilleur marché (ADAin, 57M2, lettre commissaire de  police de Bourg au Préfet,21/12/1889)
Réunion seulement lorsqu'il faut passer une commande (57M3, fiche situation au 1/1/1896).

"|5|||||||||||||||||||Oui|Oui|||||||"Syndicat des patrons cordonniers de la ville de Bourg
"||"Syndicat professionnel des maîtres cordonniers bottiers et similaires de la ville de Bourg  
"||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||59|4J|66 rue de France, place de la Grenette (1914)||1889|||Oui|Oui|Oui|||Oui|19||||Oyonnax|||20/8/1889|4/9/1889||01|Non|-1889||"1889 :50; 74 (1890)
1892 : 49
1893 : 24
1904 : 114, 165 (1914)
1920 : 287
1926 : 263"|||||Préfecture||18|1006||annuaire 1914 : date de création donnée 1893|6|||||||||||||||||||Oui|Oui|Oui|Oui|Oui|Oui|||||Chambre syndicale des fabricants de peignes d'Oyonnax||syndicat professionnel|commune (zones limitrophes)|||||voir fichier Word sur ce syndicat.||||||
||69|6A|||1891|||||||||||||Miribel|57 M 4(2)||7/1/1891|7/1/1891||01||-1891|8|"1892 : 2
1893 : 10
1894 : 9"|52 M (Etat 1891)|||AD||||1007||"Objet : achat en commun de denrées pour obtenir des rabais.
N'existe plus au fin 1896 mais a pu disparaître auparavant."|7|||||||||||||||||||Non||||||||||Syndicat d'épicerie de Miribel||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|69|6A|19 rue du Quatre septembre, 25 place carnot (1914)||1892|||||Oui|Oui|||||||Bourg-en-Bresse|57M2 ||3/6/1892|24/6/1892||01|Oui|-1892|10|"1894 : 10
1909 : 11
1911 : 12
1914 : 12
1926 : 13"|57 M2|||AD|Préfecture||375|1008||"AD Ain, 57M2, situation au 1/1/1893 : “tout récent, jusqu'à présent il n'a pas montré qu'il avait d'autre but que de s'entendre pour la vente sans concurrence de la marchandise et éviter celle que pourrait leur faire leurs collègues du dehors”.
AD Ain, 57 M 258, fiche signalétique 1908 indique création en avril 1907 et déclaration le 19 mai 1907. Effectif 1908 : 12
AD Ain, 57 772, état de 1920 des synd patronaux: dissous entre 1914 et 1919
annuaire 1914 : création 1907
Préfecture : déclaration 19/2/1926
dissous avant 1949
CARAN : rien après 1914
Statuts de 1892
création et déclaration : 1907"|8|||||||||||||||||||Non|Oui|Oui|Oui|Oui||||||Syndicat professionnel des marchands bouchers de la ville de Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
||89|8A|6 Faubourg de Bourg||1892|||||||||||||Bourg-en-Bresse|57M2||19/9/1892|5/12/1892||01||-1892||"1893 : 19
1894 : 7"||||AD||||1009||Objet : défense de leurs intérêts commerciaux. Elaboration de tarifs.|9|||||||||||||||||||Non||||||||||Syndicat professionnel des maîtres coiffeurs de la ville de Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
||00|00|Salle des syndicats||1898|||||||||||||Oyonnax|52M3 (1) et (2)|||||01||-1898||"1904 : 12O
1908 : 125"||||AD||||1010|||10|||||||||||||||||||Non|Non|||||||||Syndicat des abonnés à la force motrice et à la lumière électrique||syndicat professionnel|commune (zones limitrophes)|||||||||||
